timestamp_ist,category,headline,score,is_reel,ig_id,fb_id,ig_ok,fb_ok,reach,likes,comments,shares,saved,views,total_interactions
2026-09-06 13:28,BREAKING NEWS,Every fourth Jan Dhan account inoperative; 5.72 crore have,68,False,,,False,False,,,,,,,
2026-09-06 13:36,BREAKING NEWS,"Bank of Baroda Recruitment 2026: Apply For 1,100 Officer",68,False,18049581110657648,,True,False,,,,,,,
2026-09-06 15:00,BREAKING NEWS,"Telangana CM Revanth and TCS announce ₹70,000 crore AI",68,False,18107445707586207,,True,False,,,,,,,
2026-09-06 15:23,BREAKING NEWS,"Swatantra Bhardwaj remanded for 1 more day, faces fresh",74,True,18174700456447364,,True,False,,,,,,,
2026-09-06 16:47,BREAKING NEWS,6 Rescued from Rubble in Delhi's Satya Niketan Collapse,78,False,18328199782263866,122114180739424069,True,True,,,,,,,
2026-09-06 17:07,BREAKING NEWS,Rahul Gandhi plans 28 student interactions in campaign launch,74,True,17980309110083289,122114187231424069,True,True,,,,,,,
